#separator:tab
#html:true
You should take the subway.[sound:google-e44a93e1-3e8ae98c-cab8d825-0c9d222a-74d21360.mp3]	Você deveria pegar o metrô.
A coffee to go, please.[sound:google-61282af6-5f23e7bb-4e3d6a45-4b1bc2ef-d4f78c6e.mp3]	Um café para levar, por favor.
Did you enjoy your meal?[sound:google-adf51df9-3fd6071b-807db65a-72b4b300-b1a3d132.mp3]	Você gostou da sua refeição?
I had ice cream for dessert.[sound:google-6a80d174-07d9e4dd-ea6c338f-15bee469-7460323a.mp3]	Eu comi sorvete de sobremesa.
Do you like Italian food?[sound:google-e10182d4-d7a1d077-142e37a1-f336afc5-b5dab5ef.mp3]	Você gosta de comida italiana?
What would you recommend?[sound:google-36985eea-ebf954e6-11dcbcbe-3fed3f0d-362c4ee3.mp3]	O que você recomendaria?
I'll call the waitress.[sound:google-aa0ffa3c-280e9c88-87c6b333-deea482d-7b2549e3.mp3]	Eu vou chamar a garçonete.
I love that restaurant.[sound:google-840aa713-d25fcfa4-e9a1e8df-28c1700c-485e8958.mp3]	Eu amo aquele restaurante.
Where is the restroom?[sound:google-fccb62ad-68ee37ac-77464b19-4d2210b8-b2ee1303.mp3]	Onde é o banheiro?
Check, please.[sound:google-6d12a435-7a84d208-1297255c-3290e341-d1bf62bf.mp3]	A conta, por favor.
Don't forget to leave a tip.[sound:google-351ae1ad-441ff087-55d4dd96-c9f16bcd-5b4b7b4e.mp3]	Não se esqueça de deixar uma gorjeta.
Hi, can I help you?[sound:google-df6e375c-7b0ecc26-06293bb8-5e9a2b27-db237f13.mp3]	Olá, posso ajudar?
I need a carton of milk .[sound:google-5907eb17-0a1b7509-9a83ba4b-ea2f506e-54fb4cde.mp3]	Eu preciso de uma caixa de leite.
I'll buy a loaf of bread.[sound:google-1e39aea0-6e13adb3-32061e51-aded0f12-779a8907.mp3]	Eu vou comprar um pão.
We're out of flour.[sound:google-653dbe21-3368973a-e7359e80-b9ea6c14-36c607ba.mp3]	Nós estamos sem farinha.
How much sugar do you need?[sound:google-23c2fc46-b1b5e70c-5d6fd008-790b8537-81eafe37.mp3]	De quanto açúcar você precisa?
How many eggs do you need?[sound:google-6547edd9-4d4da4b4-98966bbf-18e5865b-575bc553.mp3]	De quantos ovos você precisa?
How much is it?[sound:google-9506fb45-a6d87f0d-3c778418-0a36993d-76a929c4.mp3]	Quanto custa?
I'm in the frozen-foods aisle.[sound:google-91e5cf6e-232f993c-7ff4ad3f-f8727353-e7fb591e.mp3]	Eu estou no corredor dos congelados.
I'll get a bottle of wine.[sound:google-ef22b134-abc94f3f-6a5f7bde-e1145498-7e78ce22.mp3]	Eu vou pegar uma garrafa de vinho.
Don't forget the shopping list.[sound:google-e651ae12-fc773573-19f7df78-f87dd44f-c988fe54.mp3]	Não se esqueça da lista de compras.
I can't eat dairy every day.[sound:google-9ee960ce-a2c59e62-ada8a814-59a98403-4c913e59.mp3]	Eu não posso comer laticínios todos os dias.
That'll be $14.&nbsp;[sound:google-b53840d9-3716a35d-5ced64e3-81195508-e6e3c45a.mp3]	Fica 14 dólares.
Anything else?[sound:google-ef6f328d-c7924fb1-eb35c37b-8b8e1682-629fb668.mp3]	Mais alguma coisa?
Let's just grab a sandwich.[sound:google-2c9de6c0-0d96ba60-360c8e2e-e2408cf6-ed955767.mp3]	Vamos apenas pegar um sanduíche.
How often do you go shopping?[sound:google-7ef58d84-53ab98e1-ce86d49a-deec8b1c-45dd5960.mp3]	Com que frequência você faz compras?
I'd like to make an appointment.[sound:google-722c81cb-a785e3ed-3c401909-c767a79a-7c4d5f07.mp3]	Eu gostaria de marcar uma consulta.
What brings you here today?[sound:google-ba5251e9-7e075bda-4ad9325f-9ccb6a3d-7be31bf1.mp3]	O que traz você aqui hoje?
I have a headache.&nbsp;[sound:google-e585201d-06a3c43f-011a183d-dbce4f3d-0677eb78.mp3]	Eu estou com dor de cabeça.
My stomach hurts.[sound:google-6265cc72-0202e2cb-bab40856-17848923-61b38273.mp3]	Meu estômago dói.
I feel dizzy.[sound:google-4f09c161-ee672e10-9e996648-236fcf31-816f3ab6.mp3]	Eu me sinto tonta.
You must rest.[sound:google-dd1ecadb-3d617aeb-97ee54b2-c64f5df2-ce6ec51b.mp3]	Você deve descansar.
Someone call an ambulance![sound:google-ba9dd211-21ed16f8-219d08c5-428b07c9-98b662fc.mp3]	Alguém chame uma ambulância!
Peter had a heart attack.[sound:google-4f167046-d40ffa9a-812d966c-de7769e0-b8a8de5f.mp3]	Peter teve um ataque cardíaco.
How are you feeling?[sound:google-51fd78b9-81a39706-a9e4481a-8d2f360e-11415437.mp3]	Como você está se sentindo?
I'm afraid of needles.[sound:google-36b1dcfa-b97ef90a-770d1cba-1b98bf74-3bbfdd01.mp3]	Eu tenho medo de agulhas.
You should see a dentist.[sound:google-1455bf4a-2584be2c-8baf9717-90083c98-2bfe3662.mp3]	Você deveria ir ao dentista.
Do you have any allergies?[sound:google-c43af418-24f90799-c6d391db-f7984052-ad2c7194.mp3]	Você tem alguma alergia?
You need a prescription.[sound:google-0d377e89-ed3964e9-f1f63e3d-d144e239-20a367ba.mp3]	Você precisa de uma receita.
I've hurt my back.[sound:google-cb780fa4-2dcbadee-ee71367c-d5a03d02-694ef6c0.mp3]	Eu machuquei minhas costas.
I think I have a fever.[sound:google-a204fd03-e2ec9b0c-25a3a55e-ffb6e6a0-f34ef5fa.mp3]	Eu acho que estou com febre.
Anna wants to be a teacher.[sound:google-06fd61f9-02170d7a-4eb19eb8-1deffa51-d0bf437b.mp3]	Anna quer ser professora.
I used to love gym class.[sound:google-de9a5d97-f7010380-fcb14aaf-03a5492f-8ec14772.mp3]	Eu costumava amar as aulas de educação física.
He was late for class today.[sound:google-958be785-6f8248db-07bdfb4b-8de34ec2-f980d418.mp3]	Ele estava atrasado para a aula hoje.
My favorite subject is Math.[sound:google-bc505d82-7e5417e6-a1540f93-4d677c91-b0284365.mp3]	Minha matéria favorita é Matemática.
That's a good university.[sound:google-792a394b-966b47a6-4a9573f2-6fc33e62-7c7ff0fa.mp3]	Essa é uma boa universidade.
He's my classmate.[sound:google-367296f6-8520688f-76259e0c-001db754-bd5ace0c.mp3]	Ele é meu colega de classe.
Where is your backpack?[sound:google-fc12fa65-34dd2d4c-f1fbf824-96ff1d5c-96d78fae.mp3]	Onde está sua mochila?
Can I borrow a pencil?[sound:google-93e30f8a-93ab9cd1-41939863-a90c8f7e-9454493b.mp3]	Posso pegar um lápis emprestado?
I have an English test today.[sound:google-40bfdc6b-4f7ed9aa-e0a2afd2-d90eb13b-f895b80f.mp3]	Eu tenho uma prova de inglês hoje.
Have you seen my notebook?[sound:google-f9f128e7-3e8ebb54-f9085c52-e7e77fc6-ff77ee84.mp3]	Você viu meu caderno?
School starts at 9 a.m.[sound:google-e46f1f3b-d329064f-6453ab50-7d4ceda5-1af5daaa.mp3]	A aula começa às 9h.
He failed Biology.&nbsp;[sound:google-e377e828-99caf278-bbf0aba4-9aba2ee8-1033fa05.mp3]	Ele reprovou em biologia.
He graduated from high school.[sound:google-779ee3aa-cb53ced2-e9ce1f43-1d51c7ef-88a52554.mp3]	Ele se formou no ensino médio.
Her grades are good.&nbsp;[sound:google-e0789d6e-ed261cff-1cab02ae-61492d1e-4466c152.mp3]	As notas dela são boas.
She wants to go to college.&nbsp;[sound:google-80f850d5-c434d1c5-db1a6de7-beece84e-c603f229.mp3]	Ela quer ir para a faculdade.
I like comedy movies.[sound:google-645c5cb1-4faa009b-4d365424-c32094b6-270857bd.mp3]	Eu gosto de filmes de comédia.
Mary doesn't like horror movies.[sound:google-4b58bcf2-6e87b2ff-4487c6b4-9fd2141f-2f648532.mp3]	Mary não gosta de filmes de terror.
I prefer Venice to Rome.[sound:google-01d4f39d-ddb80ea4-29a53910-6c1656f7-3d4bfab8.mp3]	Eu prefiro Veneza a Roma.
I love traveling by train.[sound:google-5166ead1-923cc0d0-6484a7ed-adb42838-d38440b5.mp3]	Eu amo viajar de trem.
Let's watch a movie tonight.[sound:google-20f6649f-4ce72e29-2cbdbfd8-9109410f-67fda178.mp3]	Vamos assistir a um filme esta noite.
Who is your favorite writer?[sound:google-b092ca82-6e5bb92a-34a70935-13705458-de80c392.mp3]	Quem é seu escritor favorito?
What kind of music do you like?[sound:google-0048d60f-c0df17e7-106b08cb-8b548f80-2012d81e.mp3]	Que tipo de música você gosta?
This is my favorite restaurant.[sound:google-4680d357-ffbc1888-9f59c792-bc601e43-f2327a5c.mp3]	Este é meu restaurante favorito.
I enjoy playing tennis.[sound:google-898c6e6e-17cdafa9-c7a3a765-6ada3755-2938d083.mp3]	Eu gosto de jogar tênis.
I've always loved cooking.[sound:google-19cc8b3d-8df1b818-fa77a748-0f5a1679-c78d3414.mp3]	Eu semprei amei cozinhar.
He's always hated vegetables.[sound:google-049a89fa-1a8b41bf-72cfe588-55e700f6-c29bf01a.mp3]	Ele sempre odiou vegetais.
Do you like contemporary art?[sound:google-22cc98d0-c4ef9d36-aa0eff7f-7c2266e9-e8c5f033.mp3]	Você gosta de arte contemporânea?
This is their best album.[sound:google-1473ebfd-90b37c7a-4842ffbe-8e8f31d6-aac80d56.mp3]	Este é o melhor álbum deles.
Do you have any hobbies?[sound:google-00ed3a99-67c60375-9e2433b9-f4f46230-451d0762.mp3]	Você tem algum hobby?
Let's go to the theater.&nbsp;[sound:google-39a70390-068fc8e5-fdbbadd7-1a6f2bbe-15608c5c.mp3]	Vamos ao teatro.
Will it rain today?[sound:google-df499ec3-b35540d9-e901649f-e16e91e4-834f912b.mp3]	Vai chover hoje?
It's going to snow.&nbsp;[sound:google-a8111f5a-5d5e5961-4aa69d21-e8f2e651-dc077008.mp3]	Vai nevar.
Are they going to get married?&nbsp;[sound:google-f7155c0f-be2ea1d0-42867958-c190f8a8-9bfba4bc.mp3]	Eles vão se casar?
They are not going to tell.[sound:google-6d6d8b78-70bf0e2d-75cceabc-5fec6448-7a976af9.mp3]	Eles não vão contar.
You’ll have a good time.[sound:google-2dd76e95-c18a694b-ff329853-fbc3635d-6d30ce5c.mp3]	Você vai se divertir.
I'm meeting a client later.&nbsp;[sound:google-becd73a5-7405569a-4e3f2348-8581da60-51e71946.mp3]	Vou me encontrar com um cliente mais tarde.
The party starts at six.[sound:google-13a40026-ebc11c93-152e49f8-370ec894-2a3c2daf.mp3]	A festa começa às seis.
She plans to study photography.[sound:google-804332ad-07a7817d-82e66228-7f457649-9f6f5d93.mp3]	Ela planeja estudar fotografia.
John intends to move to Paris.[sound:google-32307471-5ca4358e-dcad7c3d-ad29b9b7-586f25b4.mp3]	John pretende se mudar para Paris.
It might never happen.[sound:google-ab6d9309-4e66bb4f-81f039c3-f404f8fc-db45859a.mp3]	Isso pode nunca acontecer.
I wish you were here.[sound:google-4fee3329-02672683-2775e02a-76f933f8-438140b9.mp3]	Eu queria que você estivesse aqui.
Peter won't come.[sound:google-7b396c4d-5684fd10-5c822878-36025933-f12f8227.mp3]	Peter não virá.
We hope to arrive around two.[sound:google-9ff1e72e-8edef326-9775b44e-b4e0666c-a795b66a.mp3]	Esperamos chegar perto das duas horas.
I dream of visiting Italy.[sound:google-be95d9fc-a8c8ef56-1aaee5a5-03787e05-718aa9f0.mp3]	Eu sonho em visitar a Itália.
What are you going to do?[sound:google-40676c67-9c5eb145-ca01c35d-2aa0c941-7a843c0c.mp3]	O que você vai fazer?
He lived in London as a child.[sound:google-86278856-50213681-98f5b84d-add810b5-972ae207.mp3]	Ele morou em Londres quando criança.
I read that book last month.[sound:google-1037fc70-ff77be54-81c08116-5eeeaf12-7468bbe4.mp3]	Eu li esse livro no mês passado.
We had a good day yesterday.[sound:google-10236a54-1da63163-b77c41bf-bc22ce02-842ac549.mp3]	Nós tivemos um bom dia ontem.
They didn't go to Paris last year.[sound:google-f569d6b0-9b8ed578-0653c2c2-0192c378-f74d13d9.mp3]	Eles não foram a Paris no ano passado.
Did you study?[sound:google-c5aed65d-886a5137-f7d91c9c-ffbc57eb-14d8346f.mp3]	Você estudou?
What did you have for dinner?[sound:google-1d1dd96f-ae52de2a-c1031cac-d2bd9a0c-beb1066c.mp3]	O que você comeu no jantar?
Who ate my sandwich?[sound:google-a09748d6-de519187-4b364da1-ddd9d676-3e4ff43d.mp3]	Quem comeu meu sanduíche?
You were wearing that red dress.[sound:google-9a5b40b7-8f3e04aa-c42160d5-739a17a1-88d8c0e1.mp3]	Você estava usando aquele vestido vermelho.
I was watching TV.[sound:google-2282782c-fe19f825-e6f99ca7-548e2a02-1642db06.mp3]	Eu estava assistindo a televisão.
I have worked here for five years.[sound:google-405c9b8c-fc0563f8-c0bc96dd-469cded8-174c6483.mp3]	Eu trabalho aqui há cinco anos.
I haven’t seen her since March.[sound:google-52970af6-3a443112-343decac-8bd33f1a-ae7dfd9a.mp3]	Eu não a vejo desde março.
Have you ever eaten a jackfruit?[sound:google-f3278ed9-60683794-fc689bc3-6ec8f066-40ce856f.mp3]	Você já comeu jaca?
He used to smoke a lot.[sound:google-3b9776c9-ce60c03b-5d547ba7-f2fffa76-134bf397.mp3]	Ele costumava fumar muito.
He would always smoke after dinner.[sound:google-2ae43746-44ed5095-01fe2a30-acc3e90d-9c255b40.mp3]	Ele sempre fumava depois do jantar.
The meeting had already started.[sound:google-7cdb5e8e-9f4371e0-fe3f6fae-a9cb0d96-afa5ce15.mp3]	A reunião já havia começado.
I'll take the car.[sound:google-6cd789d2-15dc97e6-35f5bb12-f42d2a79-6db5ea66.mp3]	Eu vou pegar o carro.
I usually go to work by bus.[sound:google-0d457895-35dcc776-257c0df8-bcfe4ad8-cc069338.mp3]	Eu normalmente vou para o trabalho de ônibus.
I used to go to school by bike.[sound:google-f78d9219-b92a1abb-cd78b3f0-940dcf28-8165ea49.mp3]	Eu costumava ir à escola de bicicleta.
Paul has a motorbike.[sound:google-d7d2ae22-e516def0-14c27cd4-68a2d41a-0defcf4b.mp3]	Paul tem uma moto.
I'll call a taxi.[sound:google-e3d47ddc-5fcc4a03-7389a354-1577a556-565a693d.mp3]	Eu vou chamar um táxi.
Let's take a cab.[sound:google-529bc87e-7bed9e24-ff8c66e9-2582e83d-82148fd3.mp3]	Vamos pegar um táxi.
The train leaves at 10.[sound:google-55693996-3ddc0610-6b9b6b66-d6552d02-c261dabf.mp3]	O trem sai às 10.
We came on foot.[sound:google-b5e78f97-bcaac64c-11e94d23-3863e2e6-54b15fdd.mp3]	Nós viemos a pé.
The plane took off.[sound:google-bc22e719-e00e475c-45b8dd62-ac9047eb-752ab440.mp3]	O avião decolou.
You'll miss your flight![sound:google-ce4702b1-652d0b16-28a4ee09-b07a96f2-0a43a72b.mp3]	Você vai perder seu voo!
They came by helicopter.[sound:google-ca3ab35b-1c8b65d7-8c3ca137-11f577b6-f1d9f593.mp3]	Eles vieram de helicóptero.
The ship was ready for departure.[sound:google-fa37b311-907c3384-b8495a32-253c9ade-c69116e7.mp3]	O navio estava pronto para partir.
He owns a boat.[sound:google-2f71db07-af44c304-307dde54-a375b6f1-f55df702.mp3]	Ele tem um barco.
In New York, take the subway.&nbsp;&nbsp;[sound:google-2dc76b36-3f34e90c-eedafe96-894062f4-eeb56485.mp3]	Em Nova Iorque, pegue o metrô.
In London, take the underground.&nbsp;[sound:google-82cf6905-527708d2-31564ca1-9522cfdf-99fea1d9.mp3]	Em Londres, pegue o metrô.
Where do you live?[sound:google-3669c36b-6a22b7c2-0a88dd5f-15055c40-6fc389b6.mp3]	Onde você mora?
He lives in Cape Town.[sound:google-2179ab8d-761f3134-b8b8101e-bae8cec3-6321b74f.mp3]	Ele mora na Cidade do Cabo.
I live at number 17 on Main Street.[sound:google-e1c44c1d-1688e4f9-92b9e88a-4d8ab2f0-9735c457.mp3]	Eu moro no número 17 na Rua Principal.
We live in a two-bedroom house.[sound:google-2b8ea149-7718c855-4771ac43-03cc5574-81f1770e.mp3]	Nós moramos em uma casa de dois quartos.
What's your address?&nbsp;[sound:google-49244545-f68336a2-e6373b2f-271286e2-154467e0.mp3]	Qual seu endereço?
He was evicted.[sound:google-aca40924-bd96aa86-716b7faf-0bf9cce0-252c8806.mp3]	Ele foi despejado.
Did you pay the rent?[sound:google-b8f6edc2-4910e176-24dc3ff4-b19d6062-cf361302.mp3]	Você pagou o aluguel?
I need to go to the bathroom.[sound:google-5cd7462f-f5df5047-3df12527-c68963f6-749685fc.mp3]	Eu preciso ir ao banheiro.
She's in the kitchen.[sound:google-7faeb063-80b7a223-aa2093be-aec73763-e061a945.mp3]	Ela está na cozinha.
I'm looking for an apartment.&nbsp;[sound:google-db78e2ec-a12d4712-fc054a70-60db14bb-2b0e6c90.mp3]	Eu estou procurando um apartamento.
We are in the living room.[sound:google-92428980-d9a0b5aa-b6f7689e-f0051a9a-783bf642.mp3]	Nós estamos na sala.
Someone's knocking at the door.[sound:google-b64393c6-597382a1-05cbe3f2-42af091a-ad0681e6.mp3]	Alguém está batendo à porta.
The window is closed.[sound:google-7de632d5-2d8f978f-e750e182-ccefcc78-2da22829.mp3]	A janela está fechada.
You can sleep on the couch.[sound:google-eb8b2c5c-8396b735-872060e7-57673d2c-4b418d57.mp3]	Você pode dormir no sofá.
Last night we stayed at home.[sound:google-a47f87e9-5a789f6e-7431d3e8-ae241ea1-21c4038a.mp3]	Na noite passada nós ficamos em casa.
She was wearing casual clothes.[sound:google-d5c6d91b-8f69366a-de74eb0e-e8be9a45-2fac66f0.mp3]	Ela estava usando roupas casuais.
What's your shoe size?[sound:google-a27207dd-1822723e-411448b7-a4de0400-8374d582.mp3]	Quanto você calça?
I need to buy new pants.[sound:google-12ccd297-18c1e3a8-1ca3d3f0-b194741e-75453525.mp3]	Eu preciso comprar calças novas.
His shirt was dirty.[sound:google-a6f61834-6a11a543-3de6cffe-e234839a-62a4dbe4.mp3]	A camisa dele estava suja.
He was wearing a blue T-shirt.[sound:google-8ff55338-c5c4bbfc-aadb8df0-648bf86a-342cf50b.mp3]	Ele estava usando uma camiseta azul.
That skirt is beautiful.&nbsp;[sound:google-17f23aa4-38b1d943-23f8bca7-370e9aa0-bb525f20.mp3]	Essa saia é linda.
I like your sweater.[sound:google-7d9cae98-6e08fb35-0826e15b-35ce7a61-c9fd1d89.mp3]	Eu gosto do seu suéter.
Where's my jacket?[sound:google-e5675b6b-40acf0d9-47fa0928-9c3ab819-319211d9.mp3]	Onde está minha jaqueta?
That coat is too big.[sound:google-bf57f9ca-6d2c0146-834d9221-422ed5a5-1914bc18.mp3]	Esse casaco é grande demais.
He designs dresses.[sound:google-b3d0748e-95e37afe-b91e91d1-70ea2ebe-85db45fb.mp3]	Ele desenha vestidos.
I dressed quickly.[sound:google-cfd4dbac-2c31a3d2-c234085d-a84ad2fa-2cd40f7d.mp3]	Eu me vesti rapidamente.
I never wear socks.[sound:google-f1e60fab-2a2417d8-bdad06f0-5daf74c3-484586df.mp3]	Eu nunca uso meias.
She wears glasses.[sound:google-1cc18f73-248ec29d-d97bc0ed-0ed0eb4b-aa06d45c.mp3]	Ela usa óculos.
I forgot to bring underwear.&nbsp;[sound:google-5baf6b43-fc7fab4b-4f74f21f-e8a084c9-76d3af15.mp3]	Eu me esqueci de trazer roupas de baixo.
Don't wear that hat!&nbsp;[sound:google-0ca4558a-9c5cae64-301bcfc8-843e50b3-086d0ece.mp3]	Não use esse chapéu!
Do you have any pets?[sound:google-286c58d0-8b12934b-39e337aa-f1ad03c7-10d53f70.mp3]	Você tem algum animal de estimação?
Did you walk the dog?[sound:google-95bf9bca-8ab67abb-02a2a9c1-5da518a7-eff05ab7.mp3]	Você passeou com o cachorro?
The dogs were barking.[sound:google-38ec5d36-091a2c2f-7fb6af80-c8686d47-f6fc0cea.mp3]	Os cães estavam latindo.
I fed the cat.[sound:google-d8c01be8-80965248-f1c3edec-03cfd8ce-6f4974b6.mp3]	Eu alimentei o gato.
They have chickens and pigs.[sound:google-29746353-9d72f291-17770799-b48ef316-7e3ef26c.mp3]	Eles têm galinhas e porcos.
The birds were singing.[sound:google-64c5ae90-b94f8b1e-8ec6c70f-9c80d388-e13d3b78.mp3]	Os pássaros estavam cantando.
Several fish live in the pond.[sound:google-618f7807-f1ca9831-fb3ba69e-320453d9-90dc2bfd.mp3]	Vários peixes vivem na lagoa.
We went to the zoo.[sound:google-254806e0-3f2ea263-ae701de8-9c59b867-627ecb8d.mp3]	Nós fomos ao zoológico.
He's afraid of insects.[sound:google-b995cb55-6495dd74-6c518473-fc69dfcb-adbfc0ba.mp3]	Ele tem medo de insetos.
Spiders can be dangerous.[sound:google-475df05e-b34a184c-bcff1945-78d1f207-bae700ee.mp3]	Aranhas podem ser perigosas.
I was stung by a bee.[sound:google-53a1da08-e469ab55-c5d316e9-4abc3e44-afdb31ba.mp3]	Eu fui picada por uma abelha.
I love horses.&nbsp;[sound:google-2715f9bb-a3e2f6aa-597c9793-73556ed3-6f988bbc.mp3]	Eu amo cavalos.
Mosquitoes were flying around.[sound:google-45eed836-b321b158-c04f8cb9-a6116ca8-fe60cae3.mp3]	Mosquitos estavam voando por todo lado.
He's a veterinarian.[sound:google-7f7f615b-9c21a23f-d7361a9b-ec3b04ba-95289651.mp3]	Ele é veterinário.
He was bitten by a snake.[sound:google-42837b05-d50bc44e-9efd2046-3cecc4f8-ec563ecb.mp3]	Ele foi picado por uma cobra.
He's a famous actor.[sound:google-a05a4003-acc66502-ce94f1e4-d8610e88-395d835b.mp3]	Ele é um ator famoso.
She was a fantastic singer.[sound:google-e9374f1e-c6a7906a-fb2ca702-d665ab53-9453782b.mp3]	Ela era uma cantora fantástica.
He hired a lawyer.[sound:google-8b89c1b9-73e71243-cb90a12f-87bf0598-76604c01.mp3]	Ele contratou um advogado.
The doctor prescribed antibiotics.[sound:google-e37ffd9b-072c020d-6a0c58c5-a05209fd-8a2f8d20.mp3]	O médico prescreveu antibióticos.
My sister's a dentist.[sound:google-9b5e8dbf-7dbc7b6e-70e7bc64-872309ca-3d0fe007.mp3]	Minha irmã é dentista.
He worked as a nurse.[sound:google-61f40bc0-032d9124-ef9bc289-8433c871-f4d0c6a5.mp3]	Ele trabalhava como enfermeiro.
The teacher is nice.[sound:google-3894fe60-3659b767-e98173aa-e442bb2f-7193d458.mp3]	A professora é legal.
The athletes are training.[sound:google-e375ae60-7fd306f9-f2412aa3-90ab2294-d4e1b629.mp3]	Os atletas estão treinando.
He wanted to be an engineer.[sound:google-93aa4686-ec8ee528-299ed432-15f2f45b-000ae6c8.mp3]	Ele queria ser engenheiro.
You should hire an architect.[sound:google-eadf0acf-7c6f5f66-8e610d4a-7da2e72d-83d82086.mp3]	Você deveria contratar um arquiteto.
We complimented the chef.&nbsp;[sound:google-f075ae58-a3a3450d-68313c43-440a6dba-6331467c.mp3]	Nós cumprimentamos o chef.
A salesperson must be calm.[sound:google-7e13ffa0-63c0306a-befa004e-d5988809-483ec771.mp3]	Um vendedor deve ser calmo.
She works as a secretary.[sound:google-beed67d2-e7d57d20-1e2f329f-b19c760a-0af316de.mp3]	Ela trabalha como secretária.
We’ll have to call the plumber.[sound:google-e0004d76-9a3dc9fc-d19b07ea-a106a8b0-7f6f12c8.mp3]	Nós teremos que chamar o encanador.
Take your car to your mechanic.[sound:google-1e4680ac-75086389-7f23b16c-9e403a37-d070d98b.mp3]	Leve seu carro ao mecânico.
The weather was awful.[sound:google-35be873e-bbb34f78-b5194cda-147b6421-e9a1505b.mp3]	O tempo estava péssimo.
It's raining.[sound:google-0c980c65-d6bf06b3-d502b032-8f9ce393-1e2cf432.mp3]	Está chovendo.
Take an umbrella.[sound:google-7529f114-24f14775-94089e78-908417d2-075f3c9b.mp3]	Leve um guarda-chuva.
It's snowing.[sound:google-05c69dd3-85965d4d-2b9f2f66-a2d42f3a-74856213.mp3]	Está nevando.
It's cold today.[sound:google-f5655f1b-3ad54f0f-163361d1-9a07493b-0cb74282.mp3]	Está frio hoje.
It was hot yesterday.[sound:google-f8219c14-69219ede-9f862fc3-2b716348-4ce2a3c7.mp3]	Estava quente ontem.
The sun is shining.[sound:google-feb84ae3-a8e68bb1-30b860f5-86d26e2b-1c4a63c1.mp3]	O sol está brilhando.
The moon is beautiful tonight.[sound:google-7896add4-3bcbed08-355ed15f-ad383470-a3e3c281.mp3]	A lua está linda esta noite.
It was a cloudy day.[sound:google-88e13ef9-5b07c1fe-f16c7c32-d1b1f60f-824f95ac.mp3]	Era um dia nublado.
She loves summer.[sound:google-ab617b77-2f718d75-12b526c3-6d5f73a2-c3e0d2b7.mp3]	Ela ama o verão.
I hate winter.[sound:google-cf21247a-2435b611-60dfd53f-4e494429-a4e47fbc.mp3]	Eu odeio o inverno.
Spring is beautiful here.[sound:google-cfab4979-bb06b08c-76f77069-e9ae65bc-a5ca9b5d.mp3]	A primavera é linda aqui.
Autumn is my favorite season.[sound:google-931967ff-ed4ee8b6-fea6d109-444dc7b0-5bc403d5.mp3]	O outono é a minha estação favorita.
We met last fall.[sound:google-e27fcc39-0411bdff-ee8e6e29-91007ce4-3797b982.mp3]	Nós nos conhecemos no outono passado.
